Dataset,Mean CV Accuracy,Training Accuracy,Precision,Recall,F1-Score
pollution20_knn_smote_normalized.csv,91.95,90.9375,0.9086609837067604,0.909375,0.9088481542723723
pollution20_mean_smote_normalized.csv,90.5,89.875,0.8980065518514116,0.89875,0.8978416335786349
pollution20_mode_smote_normalized.csv,89.525,90.0,0.8988048221840402,0.9,0.8990110493217585
pollution20_multiple_imputation_smote_normalized.csv,93.61249999999998,92.875,0.9281280068281186,0.92875,0.9280130473792457
pollution40_knn_smote_normalized.csv,85.8125,86.0,0.8593924611816547,0.86,0.8592663974136984
pollution40_mean_smote_normalized.csv,83.4125,82.3125,0.8214541991246535,0.823125,0.8220382080390753
pollution40_mode_smote_normalized.csv,81.62499999999999,81.625,0.8139938420629436,0.81625,0.814295647538931
pollution40_multiple_imputation_smote_normalized.csv,86.30000000000001,86.1875,0.8603884527320479,0.861875,0.860580670464064
pollution60_knn_smote_normalized.csv,79.75,79.6875,0.7935534123392953,0.796875,0.7922018194174157
pollution60_mean_smote_normalized.csv,77.5625,77.0,0.7658454559200526,0.77,0.7634520059818064
pollution60_mode_smote_normalized.csv,76.47500000000001,76.5,0.7592028112392256,0.765,0.7602191621387042
pollution60_multiple_imputation_smote_normalized.csv,79.5875,78.9375,0.7857853451750345,0.789375,0.7865652022782988
student_20_knn_normalized.csv,86.84956439185326,87.2168284789644,0.8722176458888092,0.872168284789644,0.8715222311428206
student_20_mean_normalized.csv,86.78379044651801,87.37864077669903,0.8754722021426762,0.8737864077669902,0.8731784636974085
student_20_mode_normalized.csv,87.2378614551043,89.48220064724919,0.8970041987759746,0.8948220064724919,0.8944100080862667
student_20_multiple_imputation_normalized.csv,90.44457732110168,89.96763754045307,0.9013690554600227,0.8996763754045307,0.8994820587080985
student_40_knn_normalized.csv,72.43458010102121,70.3883495145631,0.7112808553923439,0.7038834951456311,0.6976735175413445
student_40_mean_normalized.csv,72.82308696952055,72.49190938511327,0.7320311712412331,0.7249190938511327,0.7226902429189968
student_40_mode_normalized.csv,70.94354665281953,70.71197411003236,0.7206324191581073,0.7071197411003236,0.7023602407204572
student_40_multiple_imputation_normalized.csv,74.57149900604763,74.4336569579288,0.7520143612019683,0.7443365695792881,0.743715676076824
student_60_knn_normalized.csv,54.391014041216245,50.64724919093852,0.5093984129095182,0.5064724919093851,0.490910032798319
student_60_mean_normalized.csv,53.41783239707741,50.64724919093852,0.5167394061005514,0.5064724919093851,0.4970406757371583
student_60_mode_normalized.csv,52.9643383529239,52.42718446601942,0.5526122205022491,0.5242718446601942,0.5111734770173706
student_60_multiple_imputation_normalized.csv,54.77915375053107,55.016181229773466,0.5716038130462542,0.5501618122977346,0.5441016593511493
weather20_knn_smote_normalized.csv,89.13553448839491,88.22857142857143,0.9015199589269671,0.8822857142857143,0.8817125692409091
weather20_mean_smote_normalized.csv,90.09600523046748,88.8,0.9070100686205348,0.888,0.8874740820621277
weather20_mode_smote_normalized.csv,88.83802549852892,89.60000000000001,0.9095558097174568,0.896,0.8957487847183644
weather20_multiple_imputation_smote_normalized.csv,90.11886237332462,88.8,0.9070100686205348,0.888,0.8874740820621277
weather40_knn_smote_normalized.csv,85.63627329192546,85.14285714285714,0.868511594076934,0.8514285714285714,0.8507812191576793
weather40_mean_smote_normalized.csv,87.71765936580582,86.5142857142857,0.8753252296300312,0.8651428571428571,0.8649631415879652
weather40_mode_smote_normalized.csv,85.84217064400133,85.71428571428571,0.8669278404531295,0.8571428571428571,0.8569677919179963
weather40_multiple_imputation_smote_normalized.csv,87.21488067996077,85.25714285714285,0.8628465641952984,0.8525714285714285,0.8523587714833348
weather60_knn_smote_normalized.csv,84.30927754168029,82.85714285714286,0.8429254955570745,0.8285714285714286,0.8279876427517745
weather60_mean_smote_normalized.csv,85.06379862700229,84.57142857142857,0.850341306727439,0.8457142857142858,0.8457868375516217
weather60_mode_smote_normalized.csv,83.8060804184374,82.05714285714286,0.8254493807324697,0.8205714285714286,0.8206375199822806
weather60_multiple_imputation_smote_normalized.csv,84.97239620791109,84.34285714285714,0.8480456331760189,0.8434285714285714,0.8435021981079421
